frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,neck_x,neck_y
0,0.318680077791214,0.5082959532737732,0.3065180778503418,0.5134693384170532,0.3078920543193817,0.4985692501068115,0.31921783089637756,0.5220037698745728,0.32108834385871887,0.482605904340744,0.41125360131263733,0.5398276448249817,0.4117159843444824,0.46482938528060913,0.5217742919921875,0.5521517992019653,0.5203852653503418,0.4621460735797882,0.6126266121864319,0.5558279156684875,0.6194869875907898,0.4622349441051483,0.6198908090591431,0.530571460723877,0.6196573972702026,0.48466867208480835,0.7667955160140991,0.5268548130989075,0.7659093141555786,0.49293404817581177,0.9073663353919983,0.5233579874038696,0.9076393246650696,0.4999445378780365,0.41199713945388794,0.5031217932701111
1,0.3176531195640564,0.5091565251350403,0.3055477440357208,0.5139901041984558,0.30713483691215515,0.4992399513721466,0.318324476480484,0.5220162272453308,0.32131725549697876,0.4828597903251648,0.41141074895858765,0.5397139191627502,0.412086546421051,0.46466368436813354,0.5215193033218384,0.5539438724517822,0.5209805369377136,0.4618139863014221,0.6118090748786926,0.5605345368385315,0.6193914413452148,0.46161752939224243,0.6195301413536072,0.5314140319824219,0.6199374198913574,0.4853205382823944,0.766171932220459,0.5268898606300354,0.7655395269393921,0.49282094836235046,0.9072785377502441,0.522940456867218,0.9074919819831848,0.4999052882194519,0.41228970885276794,0.5030578374862671
2,0.31722670793533325,0.5104599595069885,0.3051564693450928,0.5149320363998413,0.3067602515220642,0.5004199743270874,0.3178158700466156,0.5223737955093384,0.321476012468338,0.4832761585712433,0.4113089144229889,0.5392494797706604,0.41233617067337036,0.46476346254348755,0.5186547040939331,0.5562934279441833,0.5216642022132874,0.46225279569625854,0.6032407879829407,0.5684577226638794,0.6199331283569336,0.4624173641204834,0.6179250478744507,0.532558023929596,0.6189892888069153,0.48600679636001587,0.7659754157066345,0.5276327729225159,0.7652336955070496,0.4934678375720978,0.9076752066612244,0.5231434106826782,0.9084649085998535,0.5000850558280945,0.41238880157470703,0.5030277371406555
3,0.31548872590065,0.512820303440094,0.3032984435558319,0.5165721774101257,0.305132657289505,0.5022827982902527,0.3160564601421356,0.5224961638450623,0.3208799362182617,0.48380500078201294,0.40992429852485657,0.5385312438011169,0.4126744568347931,0.4641338288784027,0.5143011212348938,0.5579632520675659,0.5216177105903625,0.4617545008659363,0.6001366376876831,0.5741997361183167,0.619590163230896,0.4628562331199646,0.6165116429328918,0.5322557687759399,0.6180400252342224,0.48533129692077637,0.7668150067329407,0.5277945399284363,0.7657333016395569,0.49396562576293945,0.9076756834983826,0.5234249830245972,0.9088045954704285,0.5001962780952454,0.4121420383453369,0.5025498270988464
4,0.3153553605079651,0.5138305425643921,0.30325964093208313,0.5172334909439087,0.304959774017334,0.5030755996704102,,,0.3205750286579132,0.48365887999534607,0.4094218313694,0.5381661653518677,0.41314753890037537,0.4631408154964447,0.5094821453094482,0.5600773096084595,0.5216131806373596,0.4611227214336395,0.5915641784667969,0.5822380781173706,0.619555652141571,0.4625392258167267,0.6156647801399231,0.5321370363235474,0.6167616248130798,0.4848097860813141,0.7656348943710327,0.5281404852867126,0.7643328905105591,0.49509066343307495,0.9074588418006897,0.5234111547470093,0.9086765050888062,0.5003113746643066,0.41228359937667847,0.501854419708252
5,0.3153873085975647,0.5144899487495422,0.3037014603614807,0.5177448391914368,0.30504247546195984,0.5037635564804077,,,0.3202781677246094,0.4838081896305084,0.40929388999938965,0.5378703474998474,0.4131854474544525,0.4627058506011963,0.5058237314224243,0.5629940629005432,0.5218999981880188,0.4609068036079407,0.5837368965148926,0.5919610857963562,0.6205330491065979,0.4627103805541992,0.6154274940490723,0.5306897759437561,0.6162333488464355,0.4832473695278168,0.7647722959518433,0.5281540751457214,0.7630337476730347,0.4952891170978546,0.907744824886322,0.5229268670082092,0.9090560078620911,0.5002450942993164,0.4123404026031494,0.5013335347175598
6,0.316287100315094,0.5150840878486633,0.3047836422920227,0.5179831981658936,0.3059162199497223,0.5044386386871338,,,0.32021448016166687,0.48401400446891785,0.4083399176597595,0.5379261374473572,0.4129054546356201,0.4619480073451996,0.49744877219200134,0.5662305951118469,0.5208235383033752,0.4600594937801361,0.5696998834609985,0.6026614904403687,0.6197142004966736,0.46240586042404175,0.613838255405426,0.5296486020088196,0.6145345568656921,0.48157817125320435,0.7636426687240601,0.5275624990463257,0.7617479562759399,0.49498239159584045,0.9078242182731628,0.5227090120315552,0.9091814756393433,0.5002103447914124,0.411851704120636,0.5007716417312622
7,0.31642404198646545,0.5156590342521667,0.3049461543560028,0.5183269381523132,0.30602502822875977,0.5049692392349243,,,0.3198906481266022,0.484235018491745,0.407632052898407,0.5376383662223816,0.41247203946113586,0.4613300859928131,0.49156150221824646,0.5701192021369934,0.5195395350456238,0.45884236693382263,0.5562360882759094,0.6131353974342346,0.6194319128990173,0.4616524279117584,0.6119388341903687,0.5292406678199768,0.6131057143211365,0.48044905066490173,0.7624794244766235,0.5271002650260925,0.761050283908844,0.4942810535430908,0.9081198573112488,0.5227672457695007,0.9092994332313538,0.499509334564209,0.4115118086338043,0.5002728700637817
8,0.31589269638061523,0.5162854790687561,0.3043358027935028,0.518587052822113,0.3055603504180908,0.5052778720855713,,,0.3199974596500397,0.48412755131721497,0.40663591027259827,0.5376302003860474,0.4124002754688263,0.46158456802368164,0.485495001077652,0.5740700960159302,0.5187628865242004,0.4588574469089508,0.5421447157859802,0.6230177879333496,0.6195081472396851,0.46184271574020386,0.6115871667861938,0.5289896726608276,0.6129103899002075,0.4804946780204773,0.7620162963867188,0.5274141430854797,0.7604673504829407,0.494003027677536,0.9076412916183472,0.5228889584541321,0.9087616801261902,0.4993109107017517,0.4111572206020355,0.5004176497459412
9,0.31617313623428345,0.5168606042861938,0.304680198431015,0.5188360810279846,0.3059485852718353,0.5058730244636536,,,0.32028713822364807,0.4844341278076172,0.40463924407958984,0.5364094972610474,0.41230180859565735,0.461565762758255,0.47731703519821167,0.5741442441940308,0.518947958946228,0.45932143926620483,0.5177097916603088,0.6276084184646606,0.6203969120979309,0.4624952971935272,0.6110528111457825,0.5291957855224609,0.612176239490509,0.4814601242542267,0.7611031532287598,0.5272970199584961,0.7598596215248108,0.4938116669654846,0.9081388711929321,0.5228860974311829,0.9093481302261353,0.49931493401527405,0.4097427725791931,0.4997571110725403
